,Compresión Simple (Pa),Cohesión (Pa),Ángulo de Fricción (Grados),Módulo de Young,Textura,Nombre
28,268642501.38,30466251.89,35.65,296056.69,Fanerítica,Gabro
29,206102981.33,37267252.94,50.2,354708.53,Porfídica,Basalto
30,305763075.73,31174878.11,37.74,-32548.41,Fanerítica,Gabro
31,228085447.93,31298468.36,33.09,432828.16,Fanerítica,Gabro
32,230218186.1,30541763.05,40.26,-102227.86,Fanerítica,Gabro
33,84568335.11,58581329.69,48.98,388491.34,Detrítica,Arenisca
34,271812098.19,27479860.43,36.83,137971.52,Fanerítica,Gabro
35,219631618.31,34135322.09,44.82,684600.57,Intermedia-Gruesa,Granito
36,411861288.92,36560807.75,44.75,320875.17,Afanítica,Andesita
37,-9550972.32,47044755.1,31.56,-74895.77,Detrítica,Arenisca
38,224353743.65,67199977.58,51.79,463055.83,Intermedia-Gruesa,Granito
39,68313405.04,30817792.62,42.47,737318.52,Detrítica,Arenisca
40,177126008.45,88269678.85,54.21,824722.0,Porfídica,Basalto
41,179910299.31,32290543.13,51.92,1352801.56,Porfídica,Basalto
42,89027247.59,8593419.49,53.33,171990.77,Detrítica,Arenisca
43,259513666.6,30058834.79,35.01,277932.26,Fanerítica,Gabro
44,264386567.32,29715342.75,38.57,501687.7,Fanerítica,Gabro
45,78106985.67,25701690.83,17.99,700456.5,Detrítica,Arenisca
46,171216470.72,30599784.41,49.34,913386.57,Porfídica,Basalto
47,156645011.43,21019238.26,49.87,440681.34,Intermedia-Gruesa,Granito
48,213869124.47,28577637.38,35.51,123238.81,Fanerítica,Gabro
49,101824780.58,28405828.78,39.69,280287.13,Afanítica,Andesita
50,200834040.53,28289469.64,34.04,-81902.42,Fanerítica,Gabro
51,327899868.15,21607333.24,45.17,355081.69,Afanítica,Andesita
52,155496153.46,29770791.46,53.41,431586.77,Porfídica,Basalto
53,271116996.34,25880725.09,46.67,418388.57,Afanítica,Andesita
54,300936392.47,29995622.87,33.68,178159.3,Fanerítica,Gabro
55,68298267.13,26938758.65,45.67,539875.37,Detrítica,Arenisca
56,235897376.66,27320854.12,52.16,394834.04,Afanítica,Andesita
57,153208394.83,42305344.25,50.04,1516062.47,Porfídica,Basalto
58,206637431.28,50690866.03,46.18,1147628.7,Intermedia-Gruesa,Granito
59,119155421.92,6715301.89,41.57,507282.57,Detrítica,Arenisca
60,382533381.39,18400121.89,44.63,313917.17,Afanítica,Andesita
61,312199222.89,29106091.44,30.78,362807.49,Fanerítica,Gabro
62,249300494.68,32397045.21,48.5,310709.97,Afanítica,Andesita
63,333265464.01,26569542.29,43.94,389871.55,Afanítica,Andesita
64,211071141.8,59082679.91,50.88,922821.17,Porfídica,Basalto
65,153021467.47,26071624.04,28.15,332867.16,Detrítica,Arenisca
66,173731263.0,37968561.97,45.75,754834.76,Intermedia-Gruesa,Granito
67,187460542.53,31870421.85,56.49,470308.8,Intermedia-Gruesa,Granito
68,153147150.1,52705465.4,56.37,1644229.28,Porfídica,Basalto
69,198087515.47,32226216.98,51.23,507558.57,Porfídica,Basalto
70,152494636.44,46469111.25,44.17,430291.51,Detrítica,Arenisca
71,126985718.42,53988692.98,53.72,356023.23,Porfídica,Basalto
72,200452947.32,18505492.96,53.51,339887.58,Porfídica,Basalto
73,341114291.22,29948203.25,37.17,258119.46,Fanerítica,Gabro
74,216470672.87,42437615.45,56.68,474746.44,Intermedia-Gruesa,Granito
75,216221418.08,25021180.43,36.73,371515.35,Afanítica,Andesita
76,199099754.19,47114755.48,43.31,853278.43,Intermedia-Gruesa,Granito
77,149417908.46,23616454.37,51.07,813276.43,Porfídica,Basalto
78,305777691.16,28887116.8,32.8,119211.83,Fanerítica,Gabro
79,87252991.12,20903014.46,40.62,334839.98,Detrítica,Arenisca
80,234948946.62,34599264.41,45.38,329143.96,Afanítica,Andesita
81,206435779.72,19564220.45,52.33,424425.56,Afanítica,Andesita
82,169495150.08,66085321.77,51.07,1241485.21,Porfídica,Basalto
83,321135636.69,29232099.39,39.56,436234.46,Fanerítica,Gabro
84,171806388.75,53648330.61,51.74,293744.23,Porfídica,Basalto
85,268305561.29,29798364.48,53.27,284385.35,Afanítica,Andesita
86,163048913.05,29137314.75,41.72,286285.73,Afanítica,Andesita
87,184914126.23,28026616.22,34.46,277192.89,Afanítica,Andesita
88,213005030.83,60782354.84,46.37,795166.16,Porfídica,Basalto
89,218133861.93,57023425.34,49.57,166832.81,Intermedia-Gruesa,Granito
90,240846877.54,29447174.69,35.95,542510.07,Fanerítica,Gabro
91,115135407.47,5247509.52,46.78,171293.5,Detrítica,Arenisca
92,300969866.57,23832135.88,42.21,407306.92,Afanítica,Andesita
93,240342047.37,33829584.96,48.93,396399.17,Afanítica,Andesita
94,192257697.53,20361629.9,58.69,1017647.51,Intermedia-Gruesa,Granito
95,247639184.8,38473108.28,46.04,337189.97,Afanítica,Andesita
96,160870980.58,40466250.34,53.42,750227.8,Porfídica,Basalto
97,299443992.9,26577889.07,43.82,361944.79,Afanítica,Andesita
98,206834007.62,48909562.2,49.39,964321.4,Porfídica,Basalto
99,240967407.08,28812225.58,33.99,145473.42,Fanerítica,Gabro
100,242579753.38,29798248.11,40.69,258393.9,Fanerítica,Gabro
101,91348297.24,16632251.13,33.45,589753.29,Detrítica,Arenisca
102,184657304.12,19567647.03,55.51,113232.59,Intermedia-Gruesa,Granito
103,28755924.26,20062114.72,10.32,399805.83,Detrítica,Arenisca
104,185401782.91,20038445.34,46.68,374445.14,Afanítica,Andesita
105,238655197.46,-671298.37,51.16,271780.09,Intermedia-Gruesa,Granito
106,190694355.84,33761108.3,59.0,771789.19,Porfídica,Basalto
107,205743472.09,58415237.06,48.28,590172.56,Intermedia-Gruesa,Granito
108,202270784.24,59930326.29,50.08,157721.81,Intermedia-Gruesa,Granito
109,120275375.65,20650195.28,36.28,-28812.28,Detrítica,Arenisca
110,154876817.33,55549603.89,49.05,260187.32,Porfídica,Basalto
111,208880848.55,29511129.75,35.3,267359.12,Fanerítica,Gabro
112,226970865.2,29465742.56,38.24,571343.89,Fanerítica,Gabro
113,284202794.35,26938551.85,38.6,383846.22,Afanítica,Andesita
114,153327976.46,41686942.06,54.02,385185.58,Intermedia-Gruesa,Granito
115,214186495.15,18605711.21,52.96,331123.9,Intermedia-Gruesa,Granito
116,128357093.12,20690360.64,38.97,383992.24,Detrítica,Arenisca
117,226732764.3,56073921.92,57.87,181421.63,Porfídica,Basalto
118,150670790.02,36665985.74,55.2,723874.12,Porfídica,Basalto
119,245560129.93,30078301.91,34.77,-82696.7,Fanerítica,Gabro
120,279340735.25,31415050.31,48.58,289617.86,Afanítica,Andesita
121,192845981.54,30216500.93,49.19,337364.79,Afanítica,Andesita
122,285036666.16,30440538.58,37.59,237047.71,Fanerítica,Gabro
123,224551668.44,31752197.05,33.35,341634.19,Fanerítica,Gabro
124,231261594.3,29730449.4,34.42,295528.88,Fanerítica,Gabro
125,34059762.94,26408549.16,39.75,-31272.87,Detrítica,Arenisca
126,206139255.53,55927249.5,65.85,530444.19,Intermedia-Gruesa,Granito
127,100418066.13,11985305.04,40.57,18977.6,Detrítica,Arenisca
128,121710894.49,21642028.77,48.26,799928.61,Detrítica,Arenisca
129,93857519.86,10787710.59,31.96,-255833.81,Detrítica,Arenisca
130,85370137.74,25223097.18,44.56,-703067.37,Detrítica,Arenisca
131,191179526.42,17848569.18,47.32,-51147.8,Intermedia-Gruesa,Granito
132,369309509.7,31852896.02,42.07,369938.11,Afanítica,Andesita
133,174595936.59,28465358.59,54.77,281249.6,Porfídica,Basalto
134,193305143.78,3381146.8,51.07,490839.45,Porfídica,Basalto
135,233128643.65,29029989.41,33.44,321712.48,Fanerítica,Gabro
136,215654004.7,36884939.93,42.46,541559.76,Intermedia-Gruesa,Granito
137,345901017.43,21120365.22,43.03,421160.82,Afanítica,Andesita
138,252569625.51,25076987.31,47.12,381956.24,Afanítica,Andesita
139,58764984.58,4036669.54,36.99,333464.89,Detrítica,Arenisca
140,244709945.88,29949552.36,48.71,322096.9,Afanítica,Andesita
141,79555861.41,33189168.61,44.86,707882.7,Detrítica,Arenisca
142,242282847.08,28271135.41,47.87,310789.15,Afanítica,Andesita
143,61641991.77,-2450416.97,11.25,175366.86,Detrítica,Arenisca
144,215374384.24,26700095.11,55.56,485602.09,Intermedia-Gruesa,Granito
145,52100567.11,19970807.99,28.66,171808.15,Detrítica,Arenisca
146,191500617.3,37620455.39,51.67,540808.53,Porfídica,Basalto
147,207175452.71,44508519.68,52.34,517247.24,Intermedia-Gruesa,Granito
148,274085839.92,26095917.83,46.9,363335.58,Afanítica,Andesita
149,196806267.6,-550897.16,52.93,649102.43,Intermedia-Gruesa,Granito
150,181385611.81,-7629316.33,49.64,414695.37,Intermedia-Gruesa,Granito
151,245507888.22,30271886.3,33.66,-66074.65,Fanerítica,Gabro
152,241968357.01,31042681.54,60.98,699110.82,Intermedia-Gruesa,Granito
153,206374530.83,19954013.32,52.11,573022.39,Porfídica,Basalto
154,206602187.55,25488191.28,47.07,338505.79,Afanítica,Andesita
155,271144650.36,23929593.6,48.5,325386.26,Afanítica,Andesita
156,284983149.79,30603474.08,37.09,389194.37,Fanerítica,Gabro
157,227991526.13,58257024.77,64.73,573744.38,Intermedia-Gruesa,Granito
158,201921486.56,19270690.75,47.51,166781.79,Intermedia-Gruesa,Granito
159,91538116.81,9243912.72,27.3,4948.35,Detrítica,Arenisca
160,221621503.39,53132328.72,53.11,337746.88,Intermedia-Gruesa,Granito
161,138533144.86,47441972.7,56.22,427611.32,Porfídica,Basalto
162,289934283.09,28612474.94,30.74,421604.52,Fanerítica,Gabro
163,216048373.6,21396905.03,43.37,78831.47,Intermedia-Gruesa,Granito
164,188728055.81,29086582.2,41.73,351746.39,Afanítica,Andesita
165,280766056.02,21741627.55,45.38,377852.01,Afanítica,Andesita
166,214564307.24,45532210.57,54.45,702835.46,Intermedia-Gruesa,Granito
167,63772436.45,19871875.21,39.88,835243.34,Detrítica,Arenisca
168,233548527.91,31763279.9,48.66,388482.59,Porfídica,Basalto
169,218669413.45,21595118.76,47.09,638482.48,Intermedia-Gruesa,Granito
170,183090993.79,29016602.22,49.55,528914.17,Porfídica,Basalto
171,64567183.01,26733646.05,30.65,926382.13,Detrítica,Arenisca
172,180386739.3,48690512.94,53.43,595564.29,Porfídica,Basalto
173,279422040.35,29366597.56,36.08,353214.05,Fanerítica,Gabro
174,82614061.46,-12013443.77,46.05,314453.54,Detrítica,Arenisca
175,297666990.69,29943150.36,36.02,293798.76,Fanerítica,Gabro
176,225144059.96,15089167.72,31.08,396931.93,Afanítica,Andesita
177,225961379.26,31185385.82,30.91,234544.96,Fanerítica,Gabro
178,237017276.03,27285224.92,32.5,748593.92,Fanerítica,Gabro
179,61526456.1,3897992.32,35.84,563450.07,Detrítica,Arenisca
180,157326245.31,58154487.47,52.36,641799.84,Intermedia-Gruesa,Granito
181,92663824.02,24018126.07,31.02,351698.56,Detrítica,Arenisca
182,215041168.26,33105172.81,48.63,277935.22,Intermedia-Gruesa,Granito
183,198143763.68,52160120.67,60.79,481409.41,Intermedia-Gruesa,Granito
184,198833038.23,40968684.46,50.42,236620.11,Intermedia-Gruesa,Granito
185,173187496.18,55838474.45,56.54,1144845.53,Porfídica,Basalto
186,315019320.64,25233901.44,50.38,260825.3,Afanítica,Andesita
187,101487205.09,29920181.21,41.8,-118372.28,Detrítica,Arenisca
188,303710336.82,27313207.12,43.28,357067.68,Afanítica,Andesita
189,177932708.77,61010253.74,56.94,802989.36,Porfídica,Basalto
190,125552111.17,31821207.19,46.83,344687.01,Afanítica,Andesita
191,100836721.91,39510243.95,32.16,-555959.26,Detrítica,Arenisca
192,311957972.21,29783089.35,33.73,358141.96,Fanerítica,Gabro
193,119851155.2,18150015.56,36.18,320013.9,Detrítica,Arenisca
194,220811707.02,30918751.21,33.4,221970.7,Fanerítica,Gabro
195,221655364.72,28844086.9,32.89,186715.21,Fanerítica,Gabro
196,190459833.99,26958576.04,51.0,441280.95,Porfídica,Basalto
197,189548036.68,-543161.77,53.42,54878.21,Porfídica,Basalto
198,201235840.0,29722345.4,35.11,453715.74,Fanerítica,Gabro
199,201828729.38,30373765.98,40.72,411375.67,Fanerítica,Gabro
200,105484415.76,15359554.69,37.77,116706.36,Detrítica,Arenisca
201,106405861.43,12975807.77,32.15,240505.41,Detrítica,Arenisca
202,343637636.94,32628229.05,41.54,384273.79,Afanítica,Andesita
203,192759952.34,32865755.0,44.4,327766.15,Afanítica,Andesita
204,198220624.04,-2827172.6,51.41,300394.02,Detrítica,Arenisca
205,282176618.28,32162153.22,35.12,592339.14,Fanerítica,Gabro
206,217144767.11,30840262.54,37.11,293264.18,Fanerítica,Gabro
207,234822106.1,20581217.36,46.95,266665.09,Intermedia-Gruesa,Granito
208,254546858.23,30623829.89,32.18,80853.68,Fanerítica,Gabro
209,220034275.08,45992894.74,49.52,1072641.09,Porfídica,Basalto
210,161395179.34,51157700.69,54.34,559378.4,Intermedia-Gruesa,Granito
211,82921052.43,36509553.23,45.93,-624596.23,Detrítica,Arenisca
212,216856292.15,19122302.3,42.2,328192.94,Afanítica,Andesita
213,197496510.36,27017248.02,51.65,972306.51,Porfídica,Basalto
214,320317580.6,30746680.6,47.21,380744.24,Afanítica,Andesita
215,150528853.82,27969728.4,36.58,875903.76,Detrítica,Arenisca
216,181541024.45,54879629.8,48.34,447985.18,Intermedia-Gruesa,Granito
217,186410961.27,2446358.63,48.08,533815.5,Intermedia-Gruesa,Granito
218,221333941.81,26711950.02,40.22,342925.18,Afanítica,Andesita
219,47398930.73,33733254.25,12.1,485335.54,Detrítica,Arenisca
220,239857099.62,28287063.75,30.41,631047.09,Fanerítica,Gabro
221,273157023.05,27570887.25,44.14,364552.94,Afanítica,Andesita
222,341502952.23,32329475.22,40.15,379453.29,Afanítica,Andesita
223,305241907.88,30164413.79,24.29,344804.41,Afanítica,Andesita
224,202967531.16,29017408.41,50.62,802151.6,Porfídica,Basalto
225,163646230.62,44267013.06,50.47,741385.63,Intermedia-Gruesa,Granito
226,234171754.16,21987880.0,48.35,348222.7,Afanítica,Andesita
227,241346970.46,27145616.4,44.97,362286.01,Afanítica,Andesita
228,207645748.49,45550766.78,54.21,314162.95,Intermedia-Gruesa,Granito
229,227848540.92,53032928.09,50.1,461683.4,Porfídica,Basalto
230,177755705.52,43115629.13,53.09,750565.85,Porfídica,Basalto
231,164801474.9,-1439201.63,57.69,1048069.17,Intermedia-Gruesa,Granito
232,142486601.48,23276809.6,31.95,275505.24,Detrítica,Arenisca
233,247120311.49,27971868.39,35.56,628971.17,Fanerítica,Gabro
234,242240565.5,29947595.89,36.75,462045.36,Fanerítica,Gabro
235,126972769.52,54980563.25,49.99,843654.82,Porfídica,Basalto
236,51930030.34,14372128.48,36.31,594734.27,Detrítica,Arenisca
237,315992715.78,27894352.42,50.02,437169.59,Afanítica,Andesita
238,192038473.05,31361211.16,55.78,1147360.28,Porfídica,Basalto
239,177782517.97,43729719.51,50.79,205379.03,Porfídica,Basalto
240,228557398.1,57588082.01,56.2,584983.89,Intermedia-Gruesa,Granito
241,130671120.83,28245169.07,38.23,340941.43,Detrítica,Arenisca
242,187588750.78,44509309.38,53.74,357136.08,Porfídica,Basalto
243,101304356.23,12925942.37,51.83,660057.99,Detrítica,Arenisca
244,200421563.1,24546940.05,43.28,689528.04,Intermedia-Gruesa,Granito
245,24477274.88,29717633.34,33.32,534028.15,Detrítica,Arenisca
246,148836713.68,75627243.49,46.76,457946.74,Porfídica,Basalto
247,209154486.32,31671191.54,33.08,203069.66,Fanerítica,Gabro
248,86147046.38,2926058.87,40.29,646262.21,Detrítica,Arenisca
249,178320391.53,24336131.64,52.84,567524.91,Porfídica,Basalto
250,200438121.8,34297518.92,48.6,341368.5,Afanítica,Andesita
251,162374632.63,43898075.64,56.41,655307.58,Porfídica,Basalto
252,208629040.96,30068225.56,45.62,741936.17,Intermedia-Gruesa,Granito
253,262681147.72,30536096.15,36.52,366006.06,Fanerítica,Gabro
254,160110213.53,48175948.1,56.85,608654.01,Intermedia-Gruesa,Granito
255,243409357.68,31820867.57,34.21,432352.36,Fanerítica,Gabro
256,79276360.0,27694733.05,33.33,-47535.54,Detrítica,Arenisca
257,358334851.79,18786350.31,42.48,382312.68,Afanítica,Andesita
258,274215366.51,23117957.7,38.66,376012.49,Afanítica,Andesita
259,293927949.7,29206581.81,44.09,325833.92,Afanítica,Andesita
260,211333957.32,3996934.45,48.25,606769.13,Porfídica,Basalto
261,231832662.46,44122950.07,49.73,182285.13,Intermedia-Gruesa,Granito
262,168978119.56,38515520.42,51.39,462850.19,Porfídica,Basalto
263,219833088.04,46884969.8,52.26,771094.31,Intermedia-Gruesa,Granito
264,80116191.29,38162727.1,38.53,437803.58,Detrítica,Arenisca
265,48352453.44,34201517.56,39.79,-35012.41,Detrítica,Arenisca
266,57716566.5,34695571.22,57.11,102186.5,Detrítica,Arenisca
267,159576764.37,50713927.15,52.47,311605.14,Porfídica,Basalto
268,67817548.02,20357283.87,38.27,842227.24,Detrítica,Arenisca
269,325926982.44,23051467.37,43.02,328573.41,Afanítica,Andesita
270,188611122.52,30093676.85,49.09,884183.32,Porfídica,Basalto
271,246950529.01,29056656.42,38.01,412029.74,Fanerítica,Gabro
272,239653932.11,12673888.82,51.86,334296.35,Intermedia-Gruesa,Granito
273,208238576.76,24928375.4,42.79,640286.65,Intermedia-Gruesa,Granito
274,279591318.04,29049423.96,35.43,157111.82,Fanerítica,Gabro
275,162121369.62,14028526.09,50.37,88463.16,Porfídica,Basalto
276,180022753.5,44095128.72,50.11,262873.91,Porfídica,Basalto
277,254585064.08,33743940.74,47.4,294051.78,Afanítica,Andesita
278,202536665.07,32454621.7,59.63,465573.73,Intermedia-Gruesa,Granito
279,177775989.51,55955167.15,49.75,741504.44,Porfídica,Basalto
280,128717826.1,13311359.84,42.24,697899.97,Intermedia-Gruesa,Granito
281,201991513.99,46760051.83,53.04,1003964.56,Porfídica,Basalto
282,152971452.35,56225109.59,48.13,794903.8,Porfídica,Basalto
283,338713651.32,37873540.0,52.5,386796.77,Afanítica,Andesita
284,251368920.55,57099784.09,42.26,824557.99,Intermedia-Gruesa,Granito
285,330013345.25,30686934.94,52.91,331321.64,Afanítica,Andesita
286,163246330.21,72026187.84,54.86,895311.98,Porfídica,Basalto
287,269057572.93,32049725.93,41.99,406937.55,Afanítica,Andesita
288,401507627.08,32390335.09,41.58,308823.2,Afanítica,Andesita
289,219410796.07,44007657.43,47.28,114995.06,Porfídica,Basalto
290,168885038.59,58147932.02,49.87,542261.3,Porfídica,Basalto
291,240122661.49,40922294.19,45.29,340028.25,Afanítica,Andesita
292,153745875.1,43871645.68,49.17,-14802.17,Intermedia-Gruesa,Granito
293,159212236.51,36618123.93,51.7,1097732.73,Porfídica,Basalto
294,174161623.16,39586376.47,50.88,518095.15,Porfídica,Basalto
295,166346295.64,17156290.54,48.4,807981.95,Intermedia-Gruesa,Granito
296,267492377.98,30340641.62,38.46,346067.71,Fanerítica,Gabro
297,65556180.19,-17035352.15,14.55,329924.14,Detrítica,Arenisca
298,118145209.46,9822993.19,23.62,147566.34,Detrítica,Arenisca
299,213580059.36,24063170.48,51.67,366111.51,Intermedia-Gruesa,Granito
300,198647202.12,32633409.33,47.52,363200.31,Afanítica,Andesita
301,175412938.04,-5097921.29,37.29,567563.76,Intermedia-Gruesa,Granito
302,147525250.15,37539054.22,42.66,477010.61,Detrítica,Arenisca
303,271334812.84,22199820.95,54.09,254919.64,Afanítica,Andesita
304,172227954.15,66698226.83,49.88,400429.86,Porfídica,Basalto
305,144289546.96,35679673.99,50.19,17796.23,Porfídica,Basalto
306,92579990.59,11858306.8,55.17,630170.12,Detrítica,Arenisca
307,294763022.98,34189480.24,48.73,282046.7,Afanítica,Andesita
308,296993863.33,28055669.95,38.64,440760.37,Fanerítica,Gabro
309,355455509.75,27540809.09,43.93,400782.46,Afanítica,Andesita
310,234734946.04,28867381.66,34.14,321765.84,Fanerítica,Gabro
311,298226400.08,35600451.29,48.28,257747.9,Afanítica,Andesita
312,146490748.48,38863967.04,50.6,-200144.45,Porfídica,Basalto
313,186271087.57,58564375.59,47.97,1538661.19,Porfídica,Basalto
314,188824068.45,31947219.46,46.1,353707.49,Afanítica,Andesita
315,226217167.05,32039290.68,54.47,518766.0,Intermedia-Gruesa,Granito
316,196737244.12,56227456.71,52.44,640230.45,Porfídica,Basalto
317,207547388.87,26904113.38,52.49,364080.68,Afanítica,Andesita
318,268135291.15,29322279.19,36.42,250862.48,Fanerítica,Gabro
319,215996687.39,47846509.23,50.0,846698.0,Porfídica,Basalto
320,356560804.85,28279904.73,51.4,349660.81,Afanítica,Andesita
321,192630772.63,29872186.39,39.62,307475.63,Fanerítica,Gabro
322,329072794.01,24020039.64,45.58,479129.97,Afanítica,Andesita
323,262911635.92,30615944.87,37.05,99690.96,Fanerítica,Gabro
324,68309233.1,29149580.94,39.94,-102613.86,Detrítica,Arenisca
325,199855396.28,29426600.88,35.5,467197.03,Fanerítica,Gabro
326,210449626.7,39721246.18,55.73,714013.65,Intermedia-Gruesa,Granito
327,131066352.07,6373658.83,33.83,416422.98,Detrítica,Arenisca
328,278018698.39,30158594.52,33.22,200155.56,Fanerítica,Gabro
329,242282890.0,29557276.44,38.39,920725.15,Fanerítica,Gabro
330,199304165.11,29156421.24,32.99,585095.13,Fanerítica,Gabro
331,139328415.57,59736985.43,53.57,329687.69,Porfídica,Basalto
332,169975353.83,53306163.92,48.65,880176.43,Porfídica,Basalto
333,210339314.32,39398143.76,49.54,719250.87,Intermedia-Gruesa,Granito
334,329088692.48,23881983.25,39.63,417122.37,Afanítica,Andesita
335,86164593.34,29062170.32,49.21,551185.23,Detrítica,Arenisca
336,291906184.2,41531192.78,48.87,293049.31,Afanítica,Andesita
337,200924520.91,40779090.39,48.87,461083.81,Intermedia-Gruesa,Granito
338,203512186.28,29014941.24,35.73,361049.86,Fanerítica,Gabro
339,211036962.25,29614594.76,35.41,126895.62,Fanerítica,Gabro
340,121551870.57,8776997.31,32.62,-148391.93,Detrítica,Arenisca
341,242651736.87,37651433.96,41.93,398426.96,Afanítica,Andesita
342,116903594.8,-3189413.51,51.03,245057.27,Detrítica,Arenisca
343,245877705.69,30731884.38,34.5,493333.64,Fanerítica,Gabro
344,265424129.27,20361636.59,43.19,295039.63,Afanítica,Andesita
345,211513284.06,3375482.33,55.39,626967.33,Porfídica,Basalto
346,322716855.31,38029633.06,48.64,362994.71,Afanítica,Andesita
347,216407892.65,30918117.86,57.96,-30115.63,Intermedia-Gruesa,Granito
348,224298420.65,19064320.64,48.27,514942.72,Intermedia-Gruesa,Granito
349,245519699.89,30019649.4,37.5,882848.02,Fanerítica,Gabro
350,218275801.63,17983478.19,56.18,750431.3,Intermedia-Gruesa,Granito
351,203200602.01,13134385.13,52.4,1049784.96,Porfídica,Basalto
352,50992009.16,47231869.72,44.67,447887.49,Detrítica,Arenisca
353,70956088.35,29570885.92,50.28,1149682.69,Detrítica,Arenisca
354,138338643.29,24079832.45,50.8,416481.35,Afanítica,Andesita
355,244175634.98,37001214.94,50.75,791368.73,Porfídica,Basalto
356,243502134.87,31074373.05,39.17,840405.11,Fanerítica,Gabro
357,188104702.92,34012253.68,59.36,239722.95,Porfídica,Basalto
358,204659447.55,30313743.95,33.41,155658.59,Fanerítica,Gabro
359,225729244.75,38133866.56,47.65,800338.37,Porfídica,Basalto
360,141446407.85,27768341.83,38.55,612823.74,Detrítica,Arenisca
361,187291020.54,22123600.04,40.68,3071.34,Detrítica,Arenisca
362,106545426.85,27769242.22,33.26,221236.71,Detrítica,Arenisca
363,155895165.52,10738712.02,48.09,403179.26,Detrítica,Arenisca
364,196861865.8,15559834.67,49.77,628763.42,Porfídica,Basalto
365,180838833.33,54219254.49,53.73,401471.46,Porfídica,Basalto
366,-3567326.34,16074755.27,42.34,-70898.79,Detrítica,Arenisca
367,371804992.0,35392748.2,46.59,299706.07,Afanítica,Andesita
368,302217634.92,20065463.79,46.02,416502.04,Afanítica,Andesita
369,174035420.69,27617290.08,53.05,225598.18,Porfídica,Basalto
370,100419986.35,43180442.34,35.84,107555.92,Detrítica,Arenisca
371,152880223.33,21691585.48,52.71,1126633.19,Porfídica,Basalto
372,185515267.21,36758969.26,52.73,1057496.28,Porfídica,Basalto
373,176277863.77,29924880.51,33.41,928592.8,Fanerítica,Gabro
374,204735331.51,16902557.52,52.46,808259.62,Porfídica,Basalto
375,64117421.57,35685528.63,55.1,110832.44,Detrítica,Arenisca
376,89850411.24,13396703.29,21.16,263884.46,Detrítica,Arenisca
377,176836123.14,28774972.38,34.54,595847.89,Fanerítica,Gabro
378,215199358.05,30159984.78,31.7,846530.85,Fanerítica,Gabro
379,244142821.01,29732611.31,33.79,537626.11,Fanerítica,Gabro
380,144768716.25,24553846.53,54.15,921097.5,Porfídica,Basalto
381,183676990.45,4365111.21,46.01,482915.96,Intermedia-Gruesa,Granito
382,159316701.85,41087345.77,52.56,798819.67,Intermedia-Gruesa,Granito
383,213152601.09,49210170.76,47.43,331443.43,Porfídica,Basalto
384,251437839.67,29667043.21,32.83,221279.36,Fanerítica,Gabro
385,236429169.74,51081523.77,50.73,985598.73,Intermedia-Gruesa,Granito
386,67617023.33,19423643.47,50.92,222578.36,Detrítica,Arenisca
387,168189528.36,28393957.87,33.51,346926.82,Fanerítica,Gabro
388,78927280.38,40815529.28,33.99,575971.81,Detrítica,Arenisca
389,62316759.99,7438631.84,48.33,527842.19,Detrítica,Arenisca
390,169079071.34,31378907.26,39.77,478506.77,Intermedia-Gruesa,Granito
