,Compresión Simple (Pa),Cohesión (Pa),Ángulo de Fricción (Grados),Textura,Nombre,Módulo de Poisson(Pa),Resistividad,Susceptibilidad(X10⁶)
66,283877525.99,31071188.5,49.09,Afanítica,Andesita,0.3,2470859.14,23699.49
67,200160962.33,61765388.43,54.31,Porfídica,Basalto,0.34,314653.37,39293.97
68,194225016.57,43904793.03,50.62,Porfídica,Basalto,0.36,388685.8,33498.14
69,248038750.95,45327273.23,43.33,Intermedia-Gruesa,Granito,0.28,720711.19,36.54
70,241412842.97,10707181.4,42.74,Intermedia-Gruesa,Granito,0.04,485141.02,55.81
71,210968242.35,27462732.9,29.57,Fanerítica,Gabro,0.17,472683.94,912.64
72,225354460.94,14129184.39,51.41,Intermedia-Gruesa,Granito,0.42,270567.24,99.88
73,158506813.77,48619733.56,52.53,Porfídica,Basalto,0.19,655516.23,52291.39
74,116191674.41,31715958.86,15.47,Detrítica,Arenisca,0.17,7594.34,396.37
75,171628106.58,19633075.1,33.25, foliada,Gneiss,0.14,104705.11,495.82
76,208995330.36,56666728.43,51.89,Porfídica,Basalto,0.38,2861.22,36836.61
77,256479471.79,35543399.97,46.85,Afanítica,Andesita,0.27,1654800.89,27867.88
78,153927885.9,26140508.45,47.44, foliada,Gneiss,0.22,376638.56,292.31
79,227148040.7,4651264.66,62.16,Intermedia-Gruesa,Granito,0.42,179240.42,50.25
80,276084457.1,31572389.81,34.93,Fanerítica,Gabro,0.07,427891.06,582.84
81,208070394.16,28043588.52,37.26, foliada,Gneiss,0.3,84190.34,219.5
82,168719552.12,46392944.02,57.56,Porfídica,Basalto,0.28,112959.48,32849.73
83,161462840.78,19005814.37,38.33, foliada,Gneiss,0.11,455096.13,757.51
84,240641912.45,28403498.4,39.21,Afanítica,Andesita,0.25,3381942.81,24931.4
85,168989802.77,36037802.41,58.04,Intermedia-Gruesa,Granito,0.05,1017225.64,78.49
86,201950212.54,32174661.82,32.78, foliada,Gneiss,0.14,646763.68,433.69
87,212961553.28,23179248.0,54.63,Intermedia-Gruesa,Granito,0.2,1036303.41,69.67
88,277715702.01,31238317.8,35.93,Fanerítica,Gabro,0.14,433709.41,601.48
89,237158947.15,718807.18,55.36,Intermedia-Gruesa,Granito,0.44,329625.54,108.57
90,220645690.73,40257795.93,48.39,Porfídica,Basalto,0.33,610043.63,18319.69
91,198713500.99,27804508.67,42.32,Intermedia-Gruesa,Granito,0.22,642477.6,106.18
92,136766951.45,23555406.17,56.76,Intermedia-Gruesa,Granito,0.38,2533.52,130.89
93,129132936.74,51172996.83,47.79,Porfídica,Basalto,0.41,28494.83,32090.14
94,287745979.52,62196247.73,59.84,Intermedia-Gruesa,Granito,0.52,1129888.84,125.33
95,272192655.63,31723293.48,50.83,Afanítica,Andesita,0.25,1182113.8,27122.15
96,269361173.66,31334027.73,31.55,Fanerítica,Gabro,0.2,474294.67,1244.37
97,110233930.15,564526.71,25.55,Detrítica,Arenisca,0.31,6542.06,309.86
98,169757630.19,57511246.36,44.69,Intermedia-Gruesa,Granito,0.07,197660.99,23.05
99,170126312.14,1420080.6,57.53,Porfídica,Basalto,0.39,217789.16,21821.32
100,190907283.56,46298895.23,49.97,Intermedia-Gruesa,Granito,0.29,274903.02,100.7
101,256836588.52,29075699.71,30.38,Fanerítica,Gabro,0.21,917466.16,648.67
102,186458716.29,7463955.09,33.68, foliada,Gneiss,0.47,880341.45,247.81
103,165107567.29,95353332.98,56.02,Porfídica,Basalto,0.24,218106.15,24596.11
104,152775822.6,32861917.68,36.06, foliada,Gneiss,0.14,1299258.0,516.4
105,207950664.37,60376762.68,51.65,Intermedia-Gruesa,Granito,0.2,607244.02,61.76
106,169752052.27,26895044.25,49.71,Porfídica,Basalto,0.28,122210.35,40405.46
107,110658349.42,31961510.96,32.52,Detrítica,Arenisca,0.44,4205.89,346.65
108,121345780.89,18886124.2,52.85,Porfídica,Basalto,0.31,372054.12,52687.12
109,178171400.23,22769012.1,29.15, foliada,Gneiss,0.05,416195.96,242.29
110,265679771.94,29255127.07,39.69,Fanerítica,Gabro,0.1,303876.99,782.59
111,192273884.57,35078625.83,35.3, foliada,Gneiss,0.0,27725.58,361.76
112,197255816.33,47796076.46,51.12,Intermedia-Gruesa,Granito,0.37,978860.17,61.35
113,187348377.39,8680728.09,55.61,Intermedia-Gruesa,Granito,0.16,320095.59,30.97
114,132104589.03,13759029.12,37.17,Detrítica,Arenisca,0.23,3803.64,208.64
115,179611241.82,29503533.39,55.01,Intermedia-Gruesa,Granito,0.02,967459.68,47.05
116,198749015.55,30717415.64,39.92, foliada,Gneiss,0.2,322911.93,587.22
117,224242731.39,24288114.58,48.7,Porfídica,Basalto,0.37,381020.38,51521.45
118,139952318.75,44613014.31,58.87,Porfídica,Basalto,0.36,1020451.98,38445.97
119,213289794.95,30613286.26,31.63,Fanerítica,Gabro,0.13,803109.69,696.65
120,184531354.52,14957293.32,42.08, foliada,Gneiss,0.32,482663.52,239.6
121,174215854.46,47476008.32,52.45,Porfídica,Basalto,0.33,307573.23,31765.27
122,168620085.25,25661722.61,34.65, foliada,Gneiss,0.13,371775.76,50.95
123,153595162.0,33356573.98,42.51, foliada,Gneiss,0.29,412889.49,242.0
124,266524673.77,28104185.22,38.62,Fanerítica,Gabro,0.2,413191.25,801.78
125,202587665.38,24536280.23,33.32, foliada,Gneiss,0.11,867025.31,222.59
126,163890665.78,40129821.64,32.69, foliada,Gneiss,0.06,758891.49,343.99
127,161717644.34,44582345.84,30.73, foliada,Gneiss,0.27,514662.86,209.58
128,268799304.92,29722182.79,36.54,Fanerítica,Gabro,0.19,670310.09,864.5
129,260114770.57,50436705.47,57.89,Intermedia-Gruesa,Granito,0.09,804293.89,29.55
130,199773193.02,53290118.47,50.13,Intermedia-Gruesa,Granito,0.36,609740.87,45.95
131,170364730.14,27692991.57,40.11, foliada,Gneiss,0.05,228467.44,536.57
132,246003496.71,25420364.86,40.86,Intermedia-Gruesa,Granito,0.28,635355.98,104.4
133,141092979.77,33919905.94,35.77, foliada,Gneiss,0.26,165681.15,326.75
134,193266306.43,15642997.86,36.86, foliada,Gneiss,0.44,758689.28,401.84
135,217984846.14,34480899.78,56.74,Intermedia-Gruesa,Granito,0.11,196618.04,111.55
136,144312206.17,36166652.49,51.79,Intermedia-Gruesa,Granito,0.43,1059613.56,68.31
137,99686800.92,15681871.35,35.08,Detrítica,Arenisca,0.27,9838.14,394.2
138,178485498.55,20616843.79,35.46, foliada,Gneiss,0.24,524755.87,348.14
139,166957743.0,21529263.36,34.21, foliada,Gneiss,0.05,89388.01,191.83
140,188912459.12,44374139.19,45.14,Intermedia-Gruesa,Granito,0.36,1022863.08,96.74
141,204278021.52,16173699.66,37.32, foliada,Gneiss,0.42,840971.45,385.35
142,133769127.7,34645244.59,27.34, foliada,Gneiss,0.17,454291.25,325.39
143,245623541.16,30007194.65,33.57,Fanerítica,Gabro,0.14,184300.16,625.32
144,166663774.26,24979148.52,35.63, foliada,Gneiss,0.06,236904.47,189.9
145,192981584.07,30627410.64,30.09, foliada,Gneiss,0.37,1023199.67,130.92
146,180145323.13,24606183.59,43.47, foliada,Gneiss,0.05,477982.34,413.77
147,207428464.18,24619810.04,29.16,Detrítica,Arenisca,0.27,3986.08,322.19
148,140699977.08,51249751.81,43.76,Intermedia-Gruesa,Granito,0.22,439212.07,78.77
149,205239122.74,32871353.85,46.15,Intermedia-Gruesa,Granito,0.42,521901.34,132.11
150,227766265.32,30618390.8,35.61,Fanerítica,Gabro,0.14,330814.39,864.85
151,205897895.43,28726451.28,39.17,Fanerítica,Gabro,0.19,1676618.62,822.8
152,215768679.82,31282304.35,38.89,Fanerítica,Gabro,0.19,686282.11,708.13
153,198110323.65,22765174.98,29.12, foliada,Gneiss,0.22,508304.84,472.93
154,330049766.55,29542543.92,33.19,Fanerítica,Gabro,0.15,969766.7,1058.77
155,365479636.68,30806281.15,51.64,Afanítica,Andesita,0.32,5879760.88,20098.91
156,175248083.47,28591939.45,55.58,Porfídica,Basalto,0.3,18785.42,40704.35
157,181154154.99,39503115.4,32.95, foliada,Gneiss,0.26,968927.35,227.18
158,224056166.87,29875606.16,40.93,Intermedia-Gruesa,Granito,0.31,90999.71,110.49
159,106834309.28,-2031286.36,42.55,Detrítica,Arenisca,0.1,6673.58,381.76
160,36588237.13,24876726.05,37.88,Detrítica,Arenisca,0.26,5406.93,194.31
161,354039110.18,23643365.47,43.91,Afanítica,Andesita,0.33,4674364.73,14239.17
162,228883420.76,30281532.36,57.0,Intermedia-Gruesa,Granito,0.07,852419.18,76.28
163,219777675.66,61839885.66,58.25,Intermedia-Gruesa,Granito,0.03,484248.75,33.88
164,187639745.71,42051744.14,51.83,Porfídica,Basalto,0.21,910571.07,41887.84
165,166691380.75,39630125.91,31.47, foliada,Gneiss,0.22,496249.84,484.69
166,178098065.24,41004239.14,35.17, foliada,Gneiss,0.35,510281.58,266.82
167,276092732.86,30203799.69,40.89,Fanerítica,Gabro,0.16,462368.66,825.45
168,223633108.1,44688472.05,52.0,Intermedia-Gruesa,Granito,0.25,786578.57,185.89
169,158652348.05,36740733.08,58.54,Intermedia-Gruesa,Granito,0.09,459090.5,62.66
170,182415645.35,43899665.49,55.49,Intermedia-Gruesa,Granito,0.15,291676.78,46.43
171,243402490.79,31379333.33,36.05,Fanerítica,Gabro,0.23,1323030.19,826.64
172,198439059.47,29664135.84,58.8,Porfídica,Basalto,0.38,1461626.01,22085.04
173,66677579.89,36640730.75,41.98,Detrítica,Arenisca,0.1,2354.3,426.22
174,217878929.49,29870311.02,32.95,Fanerítica,Gabro,0.14,486000.89,979.61
175,98223813.45,35296561.96,30.31,Detrítica,Arenisca,0.23,3842.74,283.49
176,167357361.38,39317738.47,35.8, foliada,Gneiss,0.27,694965.9,77.77
177,247744012.78,30683094.34,34.94,Fanerítica,Gabro,0.09,393127.36,740.67
178,240333119.39,8406537.25,55.77,Porfídica,Basalto,0.46,963889.47,22250.49
179,388017769.39,26084849.32,48.05,Afanítica,Andesita,0.27,2839473.33,24636.52
180,149564149.6,26740649.28,33.65, foliada,Gneiss,0.37,273283.43,271.17
181,193585520.69,19970313.18,34.13, foliada,Gneiss,0.54,1000215.59,383.48
182,188832507.59,46965081.29,51.98,Intermedia-Gruesa,Granito,0.28,400026.29,33.61
183,247392650.71,74314185.31,53.98,Porfídica,Basalto,0.23,411921.07,44888.26
184,263009974.56,29800085.13,29.91,Fanerítica,Gabro,0.18,126528.93,673.14
185,110902316.43,35763197.23,37.86,Detrítica,Arenisca,0.21,3196.02,197.25
186,182182933.73,31918131.57,32.84, foliada,Gneiss,0.02,245054.28,500.47
187,91759540.3,25741837.33,29.08,Detrítica,Arenisca,0.3,747.61,248.27
188,283516562.92,29711460.31,34.01,Fanerítica,Gabro,0.17,453487.16,1187.9
189,153237674.28,25638259.61,43.55,Afanítica,Andesita,0.19,4757469.52,14630.19
190,180431727.41,15439186.39,30.35, foliada,Gneiss,0.01,851913.71,488.88
191,146552746.59,19619390.25,52.34,Detrítica,Arenisca,0.06,2564.72,204.12
192,180643238.95,20234737.45,35.34, foliada,Gneiss,0.21,568161.34,242.12
193,78218677.4,10525955.34,41.14,Detrítica,Arenisca,0.18,5535.32,432.47
194,81274429.79,20645211.92,40.68,Detrítica,Arenisca,0.4,6524.31,329.79
195,200371491.26,38250097.47,40.91, foliada,Gneiss,0.23,501278.82,65.68
196,232483578.44,54750298.51,51.37,Intermedia-Gruesa,Granito,0.32,806581.1,47.8
197,243720800.75,31088937.93,40.4,Fanerítica,Gabro,0.15,65260.23,547.54
198,245324406.7,31272873.53,32.84,Fanerítica,Gabro,0.15,480865.73,1118.1
199,166719898.12,23043861.88,53.34,Intermedia-Gruesa,Granito,0.33,1203776.06,74.41
200,192488634.9,54097659.56,52.76,Porfídica,Basalto,0.28,477353.83,47536.96
201,189899921.5,21892953.17,40.84,Intermedia-Gruesa,Granito,0.19,1141472.31,28.77
202,210490290.23,11413355.74,52.64,Porfídica,Basalto,0.22,154940.24,55183.77
203,197964255.74,38338834.99,48.82,Intermedia-Gruesa,Granito,0.03,715048.4,94.2
204,161578193.13,21125108.57,35.68, foliada,Gneiss,0.45,1048247.01,146.21
205,197897875.61,60735124.11,56.03,Intermedia-Gruesa,Granito,0.13,235717.44,115.9
206,225954569.97,29259817.62,35.93,Fanerítica,Gabro,0.18,544855.86,831.74
207,212750160.33,30738826.14,39.85,Fanerítica,Gabro,0.22,822911.82,577.66
208,155576389.29,42546317.2,50.3,Porfídica,Basalto,0.21,619285.16,45129.92
209,206631671.12,26904052.25,42.17, foliada,Gneiss,0.24,1107581.53,490.79
210,179566212.81,30636974.41,34.62, foliada,Gneiss,0.07,657920.2,524.74
211,223288372.86,35410463.78,48.84,Afanítica,Andesita,0.31,3267805.75,21021.43
212,106572545.92,38200489.36,48.11,Detrítica,Arenisca,0.28,578.97,352.27
213,132120733.38,38998684.98,57.27,Intermedia-Gruesa,Granito,0.28,479331.85,33.71
214,126350605.74,20820580.41,51.82,Intermedia-Gruesa,Granito,0.45,622837.63,87.34
215,32025751.62,17828993.02,41.52,Detrítica,Arenisca,0.12,8415.85,422.45
216,219297257.68,41066505.99,49.4,Intermedia-Gruesa,Granito,0.19,160118.76,70.74
217,152682585.82,23737464.65,63.39,Intermedia-Gruesa,Granito,0.47,373647.91,90.44
218,246992943.16,619686.58,45.9,Intermedia-Gruesa,Granito,0.01,539936.78,9.34
219,307500754.91,31368334.83,34.8,Fanerítica,Gabro,0.18,115793.76,855.72
220,175426179.77,35877821.51,43.72, foliada,Gneiss,0.33,270718.97,299.37
221,174091048.45,27223614.1,40.95,Intermedia-Gruesa,Granito,0.27,346945.23,57.13
222,182973656.16,-115404.7,44.86,Intermedia-Gruesa,Granito,0.12,503545.21,51.07
223,195183938.97,54886892.26,41.87,Intermedia-Gruesa,Granito,0.21,424324.75,79.39
224,162737669.24,29727717.95,41.75, foliada,Gneiss,0.03,1009079.47,124.55
225,192587634.01,29362082.17,33.64,Fanerítica,Gabro,0.18,574262.74,778.84
226,258720080.57,29073871.11,39.38,Fanerítica,Gabro,0.16,505767.29,680.59
227,185301146.56,26216116.6,47.75, foliada,Gneiss,0.28,512440.96,363.95
228,206802208.4,25866531.78,45.03,Afanítica,Andesita,0.22,5761178.16,14768.12
229,200415192.15,14047474.24,42.17, foliada,Gneiss,0.26,587624.81,334.84
230,166007198.52,30732650.85,23.11, foliada,Gneiss,0.18,604480.49,378.21
231,170644610.41,52971451.74,44.17,Intermedia-Gruesa,Granito,0.17,65514.94,87.27
232,289913825.48,37070588.99,51.17,Afanítica,Andesita,0.24,1835315.92,24631.55
233,175782300.28,45987783.28,43.97,Intermedia-Gruesa,Granito,0.14,498754.8,61.17
234,151147036.64,9448559.33,53.9,Porfídica,Basalto,0.36,531402.85,48101.59
235,187675289.41,27288602.96,39.65, foliada,Gneiss,0.49,529654.49,340.99
236,184304126.43,19917002.66,29.4, foliada,Gneiss,0.26,712688.91,421.45
237,142349071.94,24422401.89,46.72,Detrítica,Arenisca,0.12,9412.1,154.85
238,205582939.39,12609404.01,57.31,Porfídica,Basalto,0.39,62776.9,52411.92
239,203414953.39,21596732.17,35.99, foliada,Gneiss,0.32,583521.22,274.5
240,249027870.58,29834050.9,34.73,Fanerítica,Gabro,0.18,1026663.5,736.69
241,279692860.23,29773882.86,36.04,Fanerítica,Gabro,0.19,179343.47,314.11
242,283688228.18,30978528.68,30.1,Fanerítica,Gabro,0.14,212133.82,879.01
243,186270034.51,24207023.2,36.21, foliada,Gneiss,0.08,130307.45,299.17
244,168183251.08,33972948.44,47.09, foliada,Gneiss,0.21,387299.95,152.17
245,261883032.17,30510964.21,31.44,Fanerítica,Gabro,0.23,689739.71,865.85
246,211603467.75,26450949.14,37.61, foliada,Gneiss,0.39,499922.48,769.76
247,174619146.79,29500965.97,36.44, foliada,Gneiss,0.42,810506.55,449.52
248,182093642.83,53785426.29,54.45,Porfídica,Basalto,0.25,1246492.41,52450.74
249,261269261.65,29844958.34,35.38,Fanerítica,Gabro,0.16,866358.72,553.33
250,265248865.94,29930270.5,40.77,Fanerítica,Gabro,0.19,173012.8,912.6
251,256628763.65,28184204.31,34.03,Fanerítica,Gabro,0.19,709463.65,603.41
252,182672672.24,27628030.54,39.74, foliada,Gneiss,0.21,1230424.48,358.99
253,175014916.81,35299116.59,31.23, foliada,Gneiss,0.34,281809.9,345.69
254,199127278.88,42454291.92,40.22,Intermedia-Gruesa,Granito,0.24,411040.54,57.9
255,196382690.36,-13931634.75,56.3,Intermedia-Gruesa,Granito,0.52,158012.18,11.05
256,79273222.06,24601170.46,34.29,Detrítica,Arenisca,0.28,111.12,432.73
257,97475332.74,9686674.19,30.95,Detrítica,Arenisca,0.35,2038.36,73.79
258,167658576.39,43442508.32,40.35, foliada,Gneiss,0.12,561094.49,344.45
259,168220841.4,-2391354.16,47.89,Porfídica,Basalto,0.32,971940.81,34183.78
260,235519128.6,36724076.63,22.62, foliada,Gneiss,0.03,216758.68,432.6
261,248214444.53,29664553.55,36.4,Fanerítica,Gabro,0.12,487149.77,396.74
262,193322818.64,28318039.27,54.8,Intermedia-Gruesa,Granito,0.28,92798.45,74.49
263,104420347.51,10782448.73,40.37,Detrítica,Arenisca,0.25,6942.46,340.4
264,175504681.93,46184960.14,30.82, foliada,Gneiss,0.21,523670.98,379.66
265,214135455.23,8891659.44,36.55, foliada,Gneiss,0.08,1136384.95,418.81
266,101129591.78,18510352.71,54.3,Detrítica,Arenisca,0.24,7871.32,451.22
267,166074719.9,7979055.13,35.76, foliada,Gneiss,0.21,255180.54,271.99
268,142542491.07,41821121.12,42.83,Detrítica,Arenisca,0.22,5687.92,375.01
269,261674890.62,47817773.84,46.17,Intermedia-Gruesa,Granito,0.2,617475.78,86.76
270,292534764.4,28572335.85,30.73,Fanerítica,Gabro,0.12,291610.27,532.6
271,271507377.95,28743138.47,33.23,Fanerítica,Gabro,0.18,796289.39,567.24
272,95185490.88,22906675.26,45.9,Detrítica,Arenisca,0.44,2337.82,225.67
273,147565534.28,21756324.37,48.18,Porfídica,Basalto,0.38,405395.91,38423.23
274,208633602.05,13736145.07,38.79,Afanítica,Andesita,0.25,888098.61,22623.06
275,229083348.0,30377749.3,36.64,Fanerítica,Gabro,0.2,796453.82,897.24
276,230294639.6,46765446.34,38.59,Intermedia-Gruesa,Granito,0.06,199669.69,7.81
277,258392000.29,29587095.66,30.16,Fanerítica,Gabro,0.13,169408.27,801.15
278,259103511.77,40819189.61,59.5,Intermedia-Gruesa,Granito,0.28,116530.45,53.58
279,212411677.32,41669497.01,51.73,Intermedia-Gruesa,Granito,0.31,184774.37,114.63
280,182486662.75,2846484.89,53.16,Porfídica,Basalto,0.32,678895.13,41884.79
281,180171137.09,29445980.32,35.7,Fanerítica,Gabro,0.21,139881.96,1234.92
282,200043545.82,30774040.05,33.1,Fanerítica,Gabro,0.2,313958.06,713.65
283,185534635.95,32334592.89,39.88, foliada,Gneiss,0.1,298753.11,142.35
284,176847039.84,37574614.69,38.24, foliada,Gneiss,0.07,245892.7,456.64
285,217674173.81,3999205.17,45.26,Intermedia-Gruesa,Granito,0.04,618279.79,67.82
286,269732558.2,31739651.84,44.3,Afanítica,Andesita,0.22,3376725.83,12147.67
287,284811370.32,29810540.26,49.62,Afanítica,Andesita,0.29,4328225.62,17562.7
288,44679187.58,30546724.69,24.24,Detrítica,Arenisca,0.6,11003.6,417.27
289,234592193.71,28030895.95,34.51,Fanerítica,Gabro,0.15,603758.68,681.52
290,280738372.58,29681733.47,39.62,Fanerítica,Gabro,0.2,293271.72,942.68
291,181948218.86,25813590.28,35.31, foliada,Gneiss,0.29,552362.44,272.78
292,207369470.27,26571824.41,49.3,Porfídica,Basalto,0.37,365030.34,48330.18
293,172498740.85,30193459.32,48.63,Intermedia-Gruesa,Granito,0.38,941300.16,70.55
294,181061158.89,40422445.89,56.49,Porfídica,Basalto,0.19,601358.97,44702.48
295,262760905.61,31117912.91,33.98,Fanerítica,Gabro,0.19,630127.99,697.85
296,161090477.4,41454280.15,33.53, foliada,Gneiss,0.05,562577.82,304.87
297,149037011.17,44402443.61,36.33, foliada,Gneiss,0.09,224280.44,83.12
298,179247756.02,15831624.99,37.21, foliada,Gneiss,0.23,1111985.82,104.51
299,287385229.77,28689517.48,38.6,Fanerítica,Gabro,0.07,595955.42,915.06
300,227965988.05,38796049.74,42.32,Intermedia-Gruesa,Granito,0.16,720341.97,11.56
301,301989212.69,29341550.24,35.98,Fanerítica,Gabro,0.18,1110915.67,819.16
302,200286152.58,29788352.92,39.32,Fanerítica,Gabro,0.12,426179.99,791.89
303,178903740.94,16124045.09,32.99, foliada,Gneiss,0.05,923400.77,101.77
304,192114635.78,6690825.95,32.44, foliada,Gneiss,0.24,17702.94,32.06
305,224782182.36,29482007.48,37.37,Fanerítica,Gabro,0.2,696253.74,565.06
306,128853024.97,18989258.33,35.18,Detrítica,Arenisca,0.28,2559.81,304.04
307,171545399.42,30223325.46,35.66,Fanerítica,Gabro,0.18,653653.17,860.16
308,213330541.29,38182828.42,30.41, foliada,Gneiss,0.43,797555.14,374.91
309,188125054.41,45605603.03,38.96, foliada,Gneiss,0.52,657047.0,304.54
310,168354686.35,18560365.5,37.14, foliada,Gneiss,0.57,547809.04,284.35
311,183150155.88,43734478.4,36.96, foliada,Gneiss,0.18,536001.45,315.34
312,212299283.14,53493375.11,50.78,Intermedia-Gruesa,Granito,0.22,947586.7,52.32
313,210575306.88,31175056.72,33.31,Fanerítica,Gabro,0.18,668423.48,1068.34
314,176799924.5,25978977.68,32.22, foliada,Gneiss,0.14,71270.61,361.09
315,173547484.06,15892661.41,32.04, foliada,Gneiss,0.11,198452.75,104.81
316,164857481.12,45284376.35,38.97, foliada,Gneiss,0.15,877548.89,500.32
