,Compresión Simple (Pa),Cohesión (Pa),Ángulo de Fricción (Grados),Textura,Nombre,Módulo de Poisson,Resistividad,Susceptibilidad
32,247466740.78,30266875.59,31.23,Fanerítica,Gabro,0.21,348239.72,0.0
33,269837989.23,28784327.64,38.09,Fanerítica,Gabro,0.2,489435.05,0.0
34,201872627.92,13093233.8,41.09,Intermedia-Gruesa,Granito,0.25,855658.33,0.0
35,203029547.01,31408175.15,33.62,Fanerítica,Gabro,0.15,433176.92,0.0
36,165945955.81,34060148.79,25.05, foliada,Gneiss,0.24,677703.07,0.0
37,218061067.35,23999027.52,31.59, foliada,Gneiss,0.15,295455.35,0.0
38,245678447.43,31901749.06,46.96,Porfídica,Basalto,0.2,429088.78,0.03
39,175041022.91,58570326.05,50.26,Intermedia-Gruesa,Granito,0.0,532155.39,0.0
40,278841499.72,29628326.26,52.05,Intermedia-Gruesa,Granito,0.22,278209.97,0.0
41,180091467.05,4445865.11,28.26, foliada,Gneiss,0.37,767779.47,0.0
42,175042202.49,44591031.8,30.16, foliada,Gneiss,0.23,712903.45,0.0
43,221882122.24,38742001.56,45.1, foliada,Gneiss,0.1,596626.66,0.0
44,220034149.39,27860871.57,42.88,Afanítica,Andesita,0.3,6961478.98,0.02
45,256076149.32,29927328.91,36.45,Fanerítica,Gabro,0.21,556097.47,0.0
46,173689581.16,7521572.71,49.14,Intermedia-Gruesa,Granito,0.07,334433.33,0.0
47,140251980.0,22783745.33,24.93,Detrítica,Arenisca,0.26,11370.8,0.0
48,296071518.05,29560903.25,33.22,Fanerítica,Gabro,0.15,1067194.86,0.0
49,151911222.33,22834434.6,54.96,Porfídica,Basalto,0.28,412715.59,0.05
50,465482271.15,23555468.75,43.14,Afanítica,Andesita,0.31,4210337.46,0.02
51,139916837.9,13056464.77,33.11,Detrítica,Arenisca,0.32,59.52,0.0
52,178379773.88,22994741.53,30.22, foliada,Gneiss,0.11,856538.51,0.0
53,212562956.16,-10525554.82,41.11,Intermedia-Gruesa,Granito,0.22,270886.96,0.0
54,103505031.27,18581055.68,35.89,Detrítica,Arenisca,0.14,5532.37,0.0
55,145472276.86,15225179.43,49.32,Porfídica,Basalto,0.29,498658.92,0.03
56,176006325.09,24895663.31,43.32,Intermedia-Gruesa,Granito,0.33,353985.04,0.0
57,183703697.31,28949684.95,31.33, foliada,Gneiss,0.38,91476.59,0.0
58,231354162.99,30044972.89,36.95,Fanerítica,Gabro,0.08,709498.22,0.0
59,182980485.71,49329887.7,56.58,Porfídica,Basalto,0.3,1022085.84,0.04
60,264849313.53,30883354.06,32.29,Fanerítica,Gabro,0.2,641971.62,0.0
61,174008737.06,40377551.68,29.31, foliada,Gneiss,0.09,796042.64,0.0
62,196517497.85,52987302.27,55.22,Porfídica,Basalto,0.4,607188.85,0.03
63,262577955.41,29850948.76,30.45,Fanerítica,Gabro,0.17,157589.14,0.0
64,203526455.74,4995720.15,38.91, foliada,Gneiss,0.36,393936.43,0.0
65,214809191.61,39031755.11,47.62,Intermedia-Gruesa,Granito,0.14,26173.41,0.0
66,223816896.13,4000237.68,57.34,Intermedia-Gruesa,Granito,0.09,782885.8,0.0
67,242320552.15,31016984.1,29.89,Fanerítica,Gabro,0.15,30568.94,0.0
68,216246737.93,46542600.11,48.2,Intermedia-Gruesa,Granito,0.16,709649.4,0.0
69,161746010.64,4295504.13,36.73, foliada,Gneiss,0.43,485145.75,0.0
70,208171743.04,52541092.45,62.41,Intermedia-Gruesa,Granito,0.21,370235.68,0.0
71,187801439.91,18692830.16,37.9, foliada,Gneiss,0.33,319678.75,0.0
72,194399189.82,22830830.39,29.11, foliada,Gneiss,0.05,1174895.14,0.0
73,134613404.16,15266244.23,40.02,Detrítica,Arenisca,0.23,678.09,0.0
74,283617079.17,31138946.42,35.94,Fanerítica,Gabro,0.24,922824.23,0.0
75,179801438.3,40107006.02,37.3, foliada,Gneiss,0.14,1009001.8,0.0
76,266468852.4,29814654.16,32.22,Fanerítica,Gabro,0.15,244824.57,0.0
77,205217776.51,-23459125.73,57.02,Intermedia-Gruesa,Granito,0.38,612541.76,0.0
78,207551332.13,16930747.31,38.03,Intermedia-Gruesa,Granito,0.35,397577.32,0.0
79,171699839.67,21432606.37,38.13, foliada,Gneiss,0.37,845236.31,0.0
80,308168657.63,29098612.61,31.41,Fanerítica,Gabro,0.17,1053776.66,0.0
81,233545473.44,17364054.5,55.0,Intermedia-Gruesa,Granito,0.2,411234.58,0.0
82,178488389.93,38720587.92,32.75, foliada,Gneiss,0.26,447447.34,0.0
83,174262253.2,28668159.63,33.13, foliada,Gneiss,0.6,589343.14,0.0
84,189414091.33,24657512.78,51.81,Intermedia-Gruesa,Granito,0.12,404406.52,0.0
85,203200924.76,22267115.01,38.11, foliada,Gneiss,0.09,458554.76,0.0
86,172192332.98,37573495.56,50.53,Porfídica,Basalto,0.41,69341.21,0.02
87,303957456.55,29949290.13,33.24,Fanerítica,Gabro,0.19,173991.99,0.0
88,221065092.51,28886685.66,36.76,Fanerítica,Gabro,0.16,901549.47,0.0
89,63514246.99,31014108.88,44.45,Detrítica,Arenisca,0.25,224.55,0.0
90,307506898.17,31089967.24,44.44,Afanítica,Andesita,0.26,1302999.54,0.03
91,257421672.34,29649540.13,44.26,Afanítica,Andesita,0.2,7856202.83,0.02
92,222214394.23,30962474.78,35.62,Fanerítica,Gabro,0.19,420547.25,0.0
93,106868846.05,32180019.42,26.3,Detrítica,Arenisca,0.16,7158.83,0.0
94,110487637.33,38061008.69,55.41,Porfídica,Basalto,0.34,119804.14,0.04
95,173294048.83,25862810.91,50.31,Porfídica,Basalto,0.46,956776.22,0.05
96,115051267.12,37696976.81,59.21,Detrítica,Arenisca,0.36,656.86,0.0
97,205571317.21,43739184.27,52.92,Porfídica,Basalto,0.31,251588.4,0.06
98,259279469.32,29772390.26,36.69,Fanerítica,Gabro,0.16,456086.18,0.0
99,142169527.23,21746787.37,31.15,Detrítica,Arenisca,0.28,4515.55,0.0
100,164185463.76,61342384.69,55.3,Porfídica,Basalto,0.27,97560.99,0.04
101,240183464.48,35765524.08,48.04,Porfídica,Basalto,0.32,144244.09,0.03
102,212607139.1,51181170.47,30.34, foliada,Gneiss,0.44,765460.9,0.0
103,264909713.51,60364455.22,54.29,Intermedia-Gruesa,Granito,0.12,473252.58,0.0
104,172356949.58,40691919.71,36.9, foliada,Gneiss,0.18,308625.73,0.0
105,255841752.94,30058194.57,30.08,Fanerítica,Gabro,0.19,454078.69,0.0
106,136309590.43,69251054.42,57.88,Porfídica,Basalto,0.25,205468.6,0.05
107,239609232.56,31038062.12,36.22,Fanerítica,Gabro,0.21,897141.73,0.0
108,195481330.41,43533887.19,49.86,Intermedia-Gruesa,Granito,0.16,744839.81,0.0
109,156877272.23,35250719.51,45.25,Intermedia-Gruesa,Granito,0.07,148484.04,0.0
110,235386326.07,30445543.46,33.88,Fanerítica,Gabro,0.19,67401.84,0.0
111,251152119.73,28633291.29,38.96,Fanerítica,Gabro,0.2,298365.66,0.0
112,215335075.48,30204369.69,37.65,Fanerítica,Gabro,0.17,899073.92,0.0
113,175729980.63,3792378.59,55.28,Intermedia-Gruesa,Granito,0.31,559647.71,0.0
114,186970900.75,39366397.82,44.03, foliada,Gneiss,0.33,689538.64,0.0
115,213086437.51,44537013.15,56.64,Porfídica,Basalto,0.36,772465.19,0.04
116,122278113.95,-11796013.33,55.03,Detrítica,Arenisca,0.63,2692.06,0.0
117,250674415.25,30593895.7,37.28,Fanerítica,Gabro,0.13,968311.71,0.0
118,201763012.2,30932886.47,28.44, foliada,Gneiss,0.04,315385.66,0.0
119,356322472.05,32904293.06,39.92,Afanítica,Andesita,0.26,1098282.55,0.02
120,196066552.15,34543525.17,56.56,Intermedia-Gruesa,Granito,0.04,29430.22,0.0
121,199450520.77,29586447.73,35.85,Fanerítica,Gabro,0.2,441109.96,0.0
122,19922652.08,4427344.22,30.15,Detrítica,Arenisca,0.22,703.8,0.0
123,84854054.98,34540973.52,34.87,Detrítica,Arenisca,0.14,1154.63,0.0
124,288998920.86,27926077.68,31.55,Fanerítica,Gabro,0.17,273043.79,0.0
125,199200224.35,19641232.98,52.95,Porfídica,Basalto,0.38,778510.85,0.04
126,201302422.97,39935486.17,50.3,Porfídica,Basalto,0.37,438432.36,0.05
127,160325580.49,34311018.11,48.55,Intermedia-Gruesa,Granito,0.19,191896.71,0.0
128,255883833.48,31532038.59,38.27,Fanerítica,Gabro,0.14,263474.73,0.0
129,203711358.39,31536122.74,38.16,Fanerítica,Gabro,0.17,723573.85,0.0
130,158671990.62,20494330.04,25.6, foliada,Gneiss,0.3,621495.62,0.0
131,226341143.12,26512508.13,31.35, foliada,Gneiss,0.21,569667.36,0.0
132,218300484.92,34723498.86,41.13, foliada,Gneiss,0.05,163102.65,0.0
133,18379076.11,14013932.76,42.16,Detrítica,Arenisca,0.05,2060.8,0.0
134,133006104.04,27975250.4,50.48,Porfídica,Basalto,0.27,38740.09,0.02
135,176130176.17,46591449.35,36.93, foliada,Gneiss,0.45,218047.98,0.0
136,187477358.15,9474569.07,35.51, foliada,Gneiss,0.43,466610.87,0.0
137,36579202.02,23777563.03,49.22,Detrítica,Arenisca,0.24,763.87,0.0
138,249878010.03,64631370.13,47.91,Porfídica,Basalto,0.39,375884.33,0.06
139,299860269.4,30468914.11,36.65,Fanerítica,Gabro,0.1,568417.11,0.0
140,156658406.26,6121344.26,47.27,Intermedia-Gruesa,Granito,0.46,860790.26,0.0
141,192447843.09,30141550.57,34.81,Fanerítica,Gabro,0.13,97102.4,0.0
142,152690958.45,5385055.42,58.18,Porfídica,Basalto,0.16,782612.59,0.05
143,155602436.31,53651895.74,53.16,Intermedia-Gruesa,Granito,0.37,402627.43,0.0
144,244386747.62,29296514.25,37.45,Fanerítica,Gabro,0.13,498910.59,0.0
145,181870565.29,36080936.11,35.14, foliada,Gneiss,0.04,867616.6,0.0
146,211432361.76,30429655.37,32.97,Fanerítica,Gabro,0.23,573334.1,0.0
147,263453621.14,30298575.58,35.25,Fanerítica,Gabro,0.11,675824.62,0.0
148,190026171.99,50915132.72,58.34,Intermedia-Gruesa,Granito,0.37,257670.42,0.0
149,163494893.24,3130291.88,38.82, foliada,Gneiss,0.21,53367.62,0.0
150,236009245.78,30176328.35,51.1,Intermedia-Gruesa,Granito,0.58,911343.16,0.0
151,189533474.99,16759878.8,48.01, foliada,Gneiss,0.08,5596.88,0.0
152,252916064.79,30179725.38,36.51,Fanerítica,Gabro,0.18,590328.61,0.0
153,180796464.07,31584620.44,33.73,Fanerítica,Gabro,0.15,65070.78,0.0
154,150707998.72,22518521.19,32.65, foliada,Gneiss,0.36,852234.4,0.0
155,224476989.46,46693640.42,57.28,Intermedia-Gruesa,Granito,0.05,545968.81,0.0
156,315964482.68,29616044.65,36.68,Fanerítica,Gabro,0.16,48836.94,0.0
157,253593726.59,29732656.84,37.0,Fanerítica,Gabro,0.16,1303192.65,0.0
158,290958406.28,17639712.03,46.4,Afanítica,Andesita,0.34,3970035.82,0.02
159,225867478.87,44573480.27,34.26, foliada,Gneiss,0.19,654213.47,0.0
160,180649784.23,-3775675.35,38.79,Detrítica,Arenisca,0.35,1965.39,0.0
161,181372245.07,47963660.49,47.71,Porfídica,Basalto,0.33,482933.23,0.04
162,231085222.64,30320979.98,34.43,Fanerítica,Gabro,0.16,585006.77,0.0
163,188580810.29,20685684.4,32.94, foliada,Gneiss,0.25,399643.07,0.0
164,142981884.79,31534655.1,38.96, foliada,Gneiss,0.47,512594.18,0.0
165,182190285.29,37261290.95,55.83,Porfídica,Basalto,0.38,494941.48,0.05
166,123184799.41,38926188.44,31.23,Detrítica,Arenisca,0.17,1335.9,0.0
167,188138404.07,41674551.17,26.3, foliada,Gneiss,0.29,561543.68,0.0
168,32914059.58,-9086100.44,19.77,Detrítica,Arenisca,0.12,5036.65,0.0
169,196262752.27,29505012.62,46.59,Intermedia-Gruesa,Granito,0.31,264907.67,0.0
170,192213610.43,17595086.83,35.98, foliada,Gneiss,0.24,942936.65,0.0
171,92144191.95,26129563.75,34.38,Detrítica,Arenisca,0.15,3856.64,0.0
172,191258417.28,22721137.79,36.62, foliada,Gneiss,0.4,302891.76,0.0
173,187998759.92,37272081.35,30.49, foliada,Gneiss,0.43,424959.41,0.0
174,255007195.34,27519695.0,48.5,Afanítica,Andesita,0.26,7207006.39,0.03
175,225303146.79,28817279.24,51.9,Intermedia-Gruesa,Granito,0.1,336564.57,0.0
176,130036441.47,6979033.34,11.79,Detrítica,Arenisca,0.08,7866.76,0.0
177,171412539.28,21220067.44,33.15, foliada,Gneiss,0.13,799763.54,0.0
178,305602780.83,29673113.3,31.06,Fanerítica,Gabro,0.18,831720.4,0.0
179,205933556.08,29553296.59,37.4,Fanerítica,Gabro,0.23,667358.04,0.0
180,133266421.15,44959253.91,49.84,Detrítica,Arenisca,0.14,3366.11,0.0
181,70051356.65,22377736.89,34.66,Detrítica,Arenisca,0.35,2522.16,0.0
182,183451769.91,48160123.22,49.37,Porfídica,Basalto,0.34,514586.09,0.04
183,171982128.89,40144948.01,53.13,Intermedia-Gruesa,Granito,0.24,512743.16,0.0
184,239814134.92,31040243.2,40.6,Fanerítica,Gabro,0.22,975226.36,0.0
185,197423561.99,30175628.43,35.0,Fanerítica,Gabro,0.11,1135299.01,0.0
186,157986096.13,32619216.01,27.79, foliada,Gneiss,0.31,473997.27,0.0
187,162546601.22,21865902.78,51.52,Porfídica,Basalto,0.21,494070.4,0.05
188,157994804.28,17553420.46,48.42, foliada,Gneiss,0.37,356879.16,0.0
189,139828946.85,32876971.65,54.64,Porfídica,Basalto,0.38,975151.43,0.04
190,183130814.41,36123001.91,44.45,Afanítica,Andesita,0.25,4111159.33,0.02
191,268523169.48,31559610.55,36.12,Fanerítica,Gabro,0.13,365692.84,0.0
192,144846999.7,79555704.83,48.53,Porfídica,Basalto,0.3,56850.67,0.04
193,175670757.34,36641149.49,36.14, foliada,Gneiss,0.38,261091.85,0.0
194,242027428.36,35520617.44,40.83,Afanítica,Andesita,0.34,9672452.11,0.02
195,240560008.91,29491865.05,35.76,Fanerítica,Gabro,0.15,509260.95,0.0
196,178165760.8,26641538.72,38.57, foliada,Gneiss,0.02,869839.23,0.0
197,189528521.82,15384473.03,34.77, foliada,Gneiss,0.39,361521.91,0.0
198,228830605.4,26232179.8,53.79,Intermedia-Gruesa,Granito,0.08,1225876.56,0.0
199,118856502.35,12418444.44,48.0,Detrítica,Arenisca,0.19,4071.38,0.0
200,328440328.65,20039894.53,59.54,Afanítica,Andesita,0.24,2441075.51,0.02
201,110382248.79,31817499.65,33.16,Detrítica,Arenisca,0.25,419.94,0.0
202,271296942.34,30701621.46,34.11,Fanerítica,Gabro,0.15,83615.9,0.0
203,234944093.86,30046773.71,35.03,Fanerítica,Gabro,0.15,348502.05,0.0
204,198096526.12,56772895.31,53.09,Porfídica,Basalto,0.18,940680.71,0.04
205,186304777.3,15726813.57,33.06, foliada,Gneiss,0.41,762417.98,0.0
206,166899640.58,29099111.24,34.32, foliada,Gneiss,0.44,353608.9,0.0
207,90881888.01,36387358.15,44.8,Detrítica,Arenisca,0.68,8163.08,0.0
208,39849946.7,23812926.98,36.02,Detrítica,Arenisca,0.17,5475.53,0.0
209,265787695.54,30455869.19,34.5,Fanerítica,Gabro,0.12,315855.02,0.0
210,264013284.68,24898474.44,57.98,Intermedia-Gruesa,Granito,0.23,645530.87,0.0
211,277586430.76,28997816.35,33.04,Fanerítica,Gabro,0.13,138675.61,0.0
212,135533954.66,9654583.83,49.58,Porfídica,Basalto,0.4,444283.28,0.05
213,186880295.98,30290842.78,31.21,Fanerítica,Gabro,0.14,61376.13,0.0
214,225693304.26,4731174.58,54.64,Porfídica,Basalto,0.27,425637.28,0.05
215,233586097.85,49799410.11,48.8,Intermedia-Gruesa,Granito,0.28,590598.37,0.0
216,196946860.0,11481210.21,26.96, foliada,Gneiss,0.12,373258.71,0.0
217,167234242.59,25673151.87,39.97, foliada,Gneiss,0.35,520858.56,0.0
218,113521063.09,23827344.7,25.37,Detrítica,Arenisca,0.52,1596.65,0.0
219,227624062.39,29658821.05,33.98,Fanerítica,Gabro,0.16,133040.36,0.0
220,223846478.92,30152629.28,33.0,Fanerítica,Gabro,0.16,465406.17,0.0
221,236091399.8,14771516.48,45.01,Intermedia-Gruesa,Granito,0.17,251010.48,0.0
222,201239070.23,43089475.07,39.3,Intermedia-Gruesa,Granito,0.23,652404.85,0.0
223,218277431.13,56127369.12,50.96,Porfídica,Basalto,0.29,836584.91,0.05
224,290094224.08,30193310.35,43.0,Afanítica,Andesita,0.36,4014496.57,0.02
225,235644925.31,54127770.36,59.33,Intermedia-Gruesa,Granito,0.17,131984.89,0.0
226,23941699.56,25420893.58,60.3,Detrítica,Arenisca,0.35,2998.1,0.0
227,184063582.09,26960377.11,54.49,Afanítica,Andesita,0.33,7598519.58,0.01
228,211328547.43,30396620.49,52.01,Intermedia-Gruesa,Granito,0.46,347123.91,0.0
229,195231211.85,39405803.0,43.78,Intermedia-Gruesa,Granito,0.4,849187.19,0.0
230,184882511.46,21331414.03,48.89,Porfídica,Basalto,0.14,567805.73,0.04
231,169873062.56,46257591.49,60.01,Intermedia-Gruesa,Granito,0.14,551174.17,0.0
232,205031637.4,37328737.87,53.46,Porfídica,Basalto,0.33,740845.3,0.04
233,216926615.32,10902047.26,31.52, foliada,Gneiss,0.02,451801.08,0.0
234,212860272.08,16950911.44,39.97, foliada,Gneiss,0.42,394721.47,0.0
235,149775808.33,29883129.24,55.26,Intermedia-Gruesa,Granito,0.27,657133.73,0.0
236,306073814.25,29822791.7,31.35,Fanerítica,Gabro,0.18,490664.65,0.0
237,194424236.64,71121334.83,53.24,Porfídica,Basalto,0.35,319446.91,0.04
238,245473669.33,28239500.56,33.77,Fanerítica,Gabro,0.13,330661.44,0.0
239,221136444.57,17510753.41,62.55,Intermedia-Gruesa,Granito,0.15,259893.76,0.0
240,194014755.99,40246694.59,56.38,Intermedia-Gruesa,Granito,0.24,586888.3,0.0
241,37290942.56,-4427952.86,56.03,Detrítica,Arenisca,0.3,8727.91,0.0
242,190402589.2,11760966.67,42.28,Intermedia-Gruesa,Granito,0.26,761767.37,0.0
243,244168227.5,35562884.48,35.15, foliada,Gneiss,0.1,557608.48,0.0
244,252649249.64,30606580.91,38.54,Fanerítica,Gabro,0.2,537167.6,0.0
245,213450886.33,47915213.96,49.05,Porfídica,Basalto,0.41,329488.05,0.05
246,173301535.59,10468679.99,47.41,Intermedia-Gruesa,Granito,0.4,797330.44,0.0
247,286184843.6,30119669.82,39.59,Afanítica,Andesita,0.28,7572726.03,0.03
248,210107927.33,36452575.05,46.19,Intermedia-Gruesa,Granito,0.23,628315.8,0.0
249,196496867.88,-6961999.89,51.5,Intermedia-Gruesa,Granito,0.12,451287.63,0.0
250,164981240.77,52120930.52,52.65,Porfídica,Basalto,0.35,288670.89,0.05
251,312054390.59,29737276.41,37.32,Fanerítica,Gabro,0.11,892074.29,0.0
252,261493693.54,29959347.35,33.03,Fanerítica,Gabro,0.18,836888.11,0.0
253,203457380.5,33907363.14,51.57,Intermedia-Gruesa,Granito,0.07,942686.38,0.0
254,68816470.86,59992671.84,41.72,Detrítica,Arenisca,0.73,11608.49,0.0
255,232615998.78,30364865.28,35.13,Fanerítica,Gabro,0.17,2488.37,0.0
256,266059868.45,29339773.81,33.54,Fanerítica,Gabro,0.2,539246.84,0.0
257,178751025.42,32107768.0,40.74, foliada,Gneiss,0.37,350328.44,0.0
258,207478614.18,60374093.29,52.48,Porfídica,Basalto,0.34,937706.88,0.05
259,187979573.81,28105176.61,45.12,Intermedia-Gruesa,Granito,0.55,276397.91,0.0
260,269869293.93,28197074.65,50.08,Afanítica,Andesita,0.34,5110159.7,0.02
261,303939110.88,29453428.05,35.76,Fanerítica,Gabro,0.18,208243.9,0.0
262,286311777.2,39476988.47,47.62,Intermedia-Gruesa,Granito,0.0,731458.9,0.0
263,185253074.98,27103861.37,35.76, foliada,Gneiss,0.36,671819.25,0.0
264,203199542.35,36210393.98,45.62,Intermedia-Gruesa,Granito,0.32,371020.58,0.0
265,269367340.76,30881189.67,33.15,Fanerítica,Gabro,0.19,534038.11,0.0
266,117389777.11,27153291.32,52.62,Porfídica,Basalto,0.28,1259474.35,0.03
267,139325103.26,5890846.97,54.71,Porfídica,Basalto,0.14,543180.36,0.04
268,180472313.52,25363602.94,50.37,Intermedia-Gruesa,Granito,0.37,517421.87,0.0
269,253518463.79,30424631.53,36.3,Fanerítica,Gabro,0.11,354234.02,0.0
270,204406632.29,13937025.22,46.12,Intermedia-Gruesa,Granito,0.33,447847.72,0.0
271,331609878.0,26855291.89,47.73,Afanítica,Andesita,0.19,4622323.27,0.03
272,159903705.81,53852216.91,46.78,Porfídica,Basalto,0.16,567407.44,0.03
273,190343070.21,28384419.82,53.33,Porfídica,Basalto,0.2,823775.57,0.07
274,212598289.78,28005392.78,37.97, foliada,Gneiss,0.14,268872.9,0.0
275,220071156.88,30509806.06,37.51, foliada,Gneiss,0.39,455996.41,0.0
276,165846157.3,58627223.21,54.49,Porfídica,Basalto,0.14,893924.36,0.03
277,127168761.45,31851057.2,31.48, foliada,Gneiss,0.11,220248.45,0.0
278,221366522.17,49568310.06,50.66,Porfídica,Basalto,0.28,972638.65,0.01
279,300895745.83,30771631.31,34.53,Fanerítica,Gabro,0.13,17729.96,0.0
280,222722490.18,30332612.14,40.91,Fanerítica,Gabro,0.14,6523.47,0.0
281,172914456.46,43424225.19,52.23,Porfídica,Basalto,0.31,464881.97,0.02
282,206866381.86,26557109.68,51.97,Intermedia-Gruesa,Granito,0.56,719066.98,0.0
283,156040588.31,68439044.33,51.0,Porfídica,Basalto,0.37,632414.23,0.03
284,157924304.07,11448890.54,32.99, foliada,Gneiss,0.2,848574.23,0.0
285,150617041.15,40365788.65,51.07,Porfídica,Basalto,0.06,33575.87,0.05
286,238446276.73,40654234.79,49.92,Porfídica,Basalto,0.41,759664.05,0.04
287,166489247.37,36716532.59,33.52, foliada,Gneiss,0.32,410696.95,0.0
288,191918254.81,28159943.06,56.0,Porfídica,Basalto,0.1,704615.05,0.04
289,291127048.39,28719480.17,34.81,Fanerítica,Gabro,0.18,555406.68,0.0
290,375142382.54,36969829.98,48.76,Afanítica,Andesita,0.29,6250502.73,0.03
291,219722494.67,30513711.5,32.86,Fanerítica,Gabro,0.22,275729.84,0.0
292,223455306.67,53434798.34,64.26,Intermedia-Gruesa,Granito,0.35,887506.57,0.0
293,174583480.2,45624311.97,56.02,Intermedia-Gruesa,Granito,0.23,849384.16,0.0
294,237296302.66,30081671.56,34.51,Fanerítica,Gabro,0.21,114430.94,0.0
295,180160491.09,32218046.26,35.52, foliada,Gneiss,0.18,340888.44,0.0
296,192591012.62,46537686.61,51.86,Intermedia-Gruesa,Granito,0.2,221270.49,0.0
297,256586066.88,28425879.36,46.13,Intermedia-Gruesa,Granito,0.23,373065.37,0.0
298,150171219.12,61133323.78,49.93,Intermedia-Gruesa,Granito,0.35,451174.97,0.0
299,339724439.25,21949684.92,35.01,Afanítica,Andesita,0.22,5965487.2,0.02
300,188392585.78,43757551.4,35.21, foliada,Gneiss,0.19,59254.74,0.0
301,154984214.08,21943961.52,30.7, foliada,Gneiss,0.41,905502.65,0.0
302,174038119.28,34854755.37,38.33, foliada,Gneiss,0.23,669792.32,0.0
303,159775968.66,59477421.08,50.74,Porfídica,Basalto,0.31,353929.49,0.04
304,167118502.89,22317999.59,58.69,Intermedia-Gruesa,Granito,0.32,829137.65,0.0
305,307631942.59,30076689.98,32.35,Fanerítica,Gabro,0.15,588987.29,0.0
306,236067322.56,26213396.92,46.17,Intermedia-Gruesa,Granito,0.26,349831.3,0.0
307,234764660.98,29356939.21,39.8,Fanerítica,Gabro,0.14,480065.85,0.0
308,222204256.55,36854051.23,48.77,Intermedia-Gruesa,Granito,0.1,332355.3,0.0
309,148584390.57,13651739.62,34.12, foliada,Gneiss,0.55,1032055.51,0.0
310,65163055.66,31611692.25,44.99,Detrítica,Arenisca,0.12,2794.93,0.0
311,192204732.32,19131993.09,45.56, foliada,Gneiss,0.04,40268.23,0.0
312,219990566.29,8259610.38,48.37,Intermedia-Gruesa,Granito,0.1,77436.92,0.0
313,172433332.8,24154916.0,38.24, foliada,Gneiss,0.36,827399.64,0.0
314,198891762.94,31552737.81,33.93,Fanerítica,Gabro,0.23,776.53,0.0
315,234047090.54,19547076.48,50.09,Intermedia-Gruesa,Granito,0.01,290171.67,0.0
316,200049981.79,40272250.41,49.04,Porfídica,Basalto,0.26,502031.79,0.05
317,167657408.06,21768252.41,46.33,Afanítica,Andesita,0.23,4656046.17,0.03
318,174620765.18,28571637.28,33.6, foliada,Gneiss,0.23,251962.54,0.0
319,182772009.95,42553421.06,28.1, foliada,Gneiss,0.25,571019.35,0.0
